class_id,class_name,pixel_count,pixel_fraction,tile_presence_count,tile_presence_fraction,mean_pixels_when_present,median_pixels_when_present,p90_pixels_when_present
12,highway,22307133,0.15401523866996555,213246,0.6729465671980914,104.60750963675754,48.0,246.0
4,building,21505137,0.14847801408120473,61489,0.1940426149632042,349.73957943697246,39.0,955.0
22,river,1585056,0.010943709267580953,55825,0.17616856641547066,28.393300492610837,29.0,50.0
13,leisure,92147705,0.6362158139490439,23264,0.07341487736837454,3960.9570581155435,304.0,16384.0
17,parking,869450,0.006002947544249705,7334,0.023144115827873922,118.55058631033542,42.0,300.0
21,power_tower,9346,6.452762982179278e-05,7266,0.02292952626197599,1.2862647949353152,1.0,2.0
3,amenity_fuel,60212,0.00041572198232717606,3049,0.009621817447394,19.748114135782224,8.0,41.0
20,power_substation,288227,0.0019900069720357235,2857,0.009015917496623371,100.88449422471123,41.0,219.0
1,aerodrome,4135098,0.02854997571376372,1098,0.0034649903434695348,3766.0273224043717,1614.0,11692.700000000003
19,power_plant,1206362,0.008329090580684527,853,0.00269183676045493,1414.2579132473622,338.0,4018.400000000003
29,works,708353,0.004890684802820072,638,0.002013355044748236,1110.2711598746082,350.0,2777.900000000008
23,runway,8069,5.5710832980103364e-05,549,0.0017324951717347674,14.697632058287796,11.0,29.0
10,generator_wind,164,1.1323059373821976e-06,151,0.0004765150654498176,1.086092715231788,1.0,1.0
27,taxiway,6010,4.14948700223598e-05,150,0.0004733593365395539,40.06666666666667,15.0,120.39999999999998
9,fountain,140,9.666026294726076e-07,121,0.00038184319814190684,1.1570247933884297,1.0,2.0
26,storage_tank,180,1.242774809321924e-06,114,0.00035975309577006097,1.5789473684210527,1.0,2.0
5,chimney,80,5.52344359698633e-07,64,0.00020196665025687632,1.25,1.0,2.0
11,helipad,58,4.0044966078150886e-07,56,0.0001767208189747668,1.0357142857142858,1.0,1.0
18,petroleum_well,67,4.625884012476051e-07,52,0.00016409790333371202,1.2884615384615385,1.0,2.0
8,flagpole,60,4.142582697739747e-07,47,0.00014831925878239355,1.2765957446808511,1.0,2.0
25,silo,27,1.864162213982886e-07,21,6.627030711553755e-05,1.2857142857142858,1.0,2.0
0,aerialway_pylon,23,1.5879900341335695e-07,17,5.364739147448278e-05,1.3529411764705883,1.0,2.0
7,crane,21,1.4499039442089115e-07,13,4.1024475833428004e-05,1.6153846153846154,1.0,2.0
2,airstrip,186,1.2842006362993214e-06,12,3.7868746923164314e-05,15.5,13.5,24.5
14,lighthouse,7,4.833013147363038e-08,7,2.209010237184585e-05,1.0,1.0,1.0
24,satellite_dish,7,4.833013147363038e-08,6,1.8934373461582157e-05,1.1666666666666667,1.0,1.5
6,communications_tower,2,1.3808608992465823e-08,2,6.311457820527385e-06,1.0,1.0,1.0
15,obelisk,1,6.9043044962329116e-09,1,3.1557289102636925e-06,1.0,1.0,1.0
16,observatory,0,0.0,0,0.0,0.0,0.0,0.0
28,water_tower,0,0.0,0,0.0,0.0,0.0,0.0
