class_id,class_name,anchor_class_count,tile_presence_count,tile_presence_fraction,pixel_count,pixel_fraction
0,aerialway_pylon,0,0,0.0,0,0.0
1,aerodrome,23,41,0.03341483292583537,81776,0.030783535386045845
2,airstrip,0,2,0.0016299918500407497,20,7.528745692145824e-06
3,amenity_fuel,116,227,0.1850040749796251,5075,0.0019104192193820028
4,building,0,845,0.6886715566422168,660446,0.24861649886974704
5,chimney,52,52,0.042379788101059496,64,2.409198621486664e-05
6,communications_tower,0,1,0.0008149959250203749,1,3.764372846072912e-07
7,crane,0,1,0.0008149959250203749,2,7.528745692145825e-07
8,flagpole,0,6,0.004889975550122249,7,2.6350609922510385e-06
9,fountain,79,80,0.06519967400162999,87,3.2750043760834335e-05
10,generator_wind,89,90,0.07334963325183375,96,3.6137979322299954e-05
11,helipad,47,47,0.03830480847595762,48,1.8068989661149977e-05
12,highway,0,970,0.7905460472697636,433619,0.16323035891412901
13,leisure,148,762,0.6210268948655256,1173363,0.44169758157866507
14,lighthouse,0,0,0.0,0,0.0
15,obelisk,0,0,0.0,0,0.0
16,observatory,0,0,0.0,0,0.0
17,parking,118,543,0.44254278728606355,135646,0.051062211907840625
18,petroleum_well,41,41,0.03341483292583537,54,2.0327613368793724e-05
19,power_plant,38,73,0.059494702526487364,79336,0.029865028411604055
20,power_substation,112,180,0.1466992665036675,21135,0.0079560020101751
21,power_tower,69,183,0.1491442542787286,264,9.937944313632487e-05
22,river,53,517,0.4213528932355338,14455,0.0054414009489983945
23,runway,10,83,0.06764466177669112,1604,0.0006038054045100951
24,satellite_dish,0,0,0.0,0,0.0
25,silo,0,0,0.0,0,0.0
26,storage_tank,68,72,0.05867970660146699,113,4.253741316062391e-05
27,taxiway,106,109,0.08883455582722087,3701,0.0013931943903315847
28,water_tower,0,0,0.0,0,0.0
29,works,58,65,0.05297473512632437,45573,0.01715537637140808
